,remote_hostname,company,company_website,result
800,fanart.tv,Fanart.tv,https://fanart.tv/,static server
801,phicdn.net,"Cloudflare, Inc.",https://www.cloudflare.com/,CDN
802,podnapisi.net,Podnapisi d.o.o.,https://www.podnapisi.net,first-party host
803,appcenter.ms,Microsoft,https://www.microsoft.com/,CDN
804,mcafee.com,McAfee,https://www.mcafee.com/,first-party host
805,letsencrypt.org,Internet Security Research Group,https://www.abetterinternet.org/,first-party host
806,volutionwarness.site,unknown,,marketing
807,casalemedia.com,Index Exchange,https://www.indexexchange.com/,advertising
808,media.net,Media.net,https://www.media.net/,advertising
809,telephony.goog,Google,https://www.google.com/,first-party host
810,districtm.io,District M,https://districtm.io/,advertising
811,sharethrough.com,Sharethrough,https://www.sharethrough.com/,advertising
812,paypalobjects.com,PayPal,https://www.paypal.com/,CDN
813,crwdcntrl.net,Lotame Solutions Inc.,https://www.lotame.com/,tracking
814,1rx.io,1rx,https://1rx.io/,tracking
815,33across.com,33Across,https://www.33across.com/,advertising
816,clean.gg,Clean,https://www.clean.gg/,first-party host
817,smadex.com,Smadex,https://smadex.com/,advertising
818,slackb.com,Slack,https://www.slack.com/,first-party host
819,verizon.com,Verizon Communications Inc.,https://www.verizon.com/,first-party host
820,cdn77.org,CDN77,https://www.cdn77.com/,CDN
821,radar.io,"Radar Labs, Inc.",https://radar.io/,analytics
822,emb-api.com,EMB,https://www.emb.com/,CDN
823,instabug.com,Instabug,https://instabug.com/,marketing
824,blinkreceipt.com,Blink Receipt,https://www.blinkreceipt.com/,analytics
825,marketingcloudapis.com,Salesforce,https://www.salesforce.com/,marketing
826,vzmessages.com,Verizon,www.verizon.com,tracking
827,iotinspector.org,Princeton University,https://www.princeton.edu/,analytics
828,ab1n.net,AB1N,https://ab1n.net/,CDN
829,signalr.net,Microsoft,https://www.microsoft.com/,"API and real-time web functionality provider (middleware) for building real-time, multi-user interactive web applications."
830,wunderground.com,The Weather Company,https://www.theweathercompany.com/,analytics
831,akstat.io,Akamai Technologies,https://www.akamai.com/,CDN
832,sharepoint.com,Microsoft Corporation,https://www.microsoft.com/,first-party host
833,inmobi.com,InMobi,https://www.inmobi.com/,advertising
834,applovin.com,AppLovin Corporation,https://www.applovin.com/,advertising
835,aerserv.com,Aerserv,https://www.aerserv.com/,advertising
836,safedk.com,SafeDK,https://www.safedk.com/,CDN
837,inmobicdn.net,InMobi,https://inmobi.com/,CDN
838,zynga.com,Zynga,https://www.zynga.com/,first-party host
839,glympse.com,,,
840,qnap.com,"QNAP Systems, Inc.",https://www.qnap.com/,static server
841,cbsi.com,CBS Interactive Inc.,https://www.viacbs.com/,first-party host
842,bitmoji.com,Snap Inc.,https://www.snap.com/,marketing
843,cbsnews.com,CBS Interactive Inc.,https://www.cbsinteractive.com/,news
844,pubwise.io,PubWise.io,https://pubwise.io/,advertising
845,winehq.org,WineHQ,https://www.winehq.org/,first-party host
846,tivo.com,TiVo Corporation,https://tivo.com/,marketing
847,me.com,Apple Inc.,https://www.apple.com/,first-party host
848,hkserverworks.com,HK Serverworks,https://www.hkserverworks.com/,static server
849,smartmailcloud.com,SocketLabs,https://www.socketlabs.com/,email service provider
850,backblaze.com,"Backblaze, Inc.",https://www.backblaze.com/,static server
851,sprintlink.net,Sprint,https://www.sprint.com/,CDN
852,airwire.ie,Airwire Ltd.,https://www.airwire.ie/,static server
853,accuweather.com,AccuWeather,https://www.accuweather.com/,weather forecasting and information
854,khoda.xyz,,,
855,hismarttv.com,Unknown,,marketing
856,bbctvapps.co.uk,BBC,https://www.bbc.com/,CDN
857,digitaluk.co.uk,Digital UK,https://www.digitaluk.co.uk/,first-party host
858,hubspot.com,HubSpot,https://www.hubspot.com/,marketing
859,hs-analytics.net,HubSpot,https://www.hubspot.com/,analytics
860,pingdom.net,,,
861,alexametrics.com,Amazon,https://www.amazon.com/,analytics
862,mxpnl.com,Mixpanel,https://mixpanel.com/,analytics
863,ttvnw.net,Turner Broadcasting System,https://www.turner.com/,CDN
864,sekindo.com,Sekindo,https://www.sekindo.com/,advertising
865,comodo.com,Comodo,https://www.comodo.com/,first-party host
866,intel.com,Intel Corporation,https://www.intel.com/,first-party host
867,onenote.com,Microsoft,https://www.microsoft.com/,first-party host
868,belkin.com,Belkin,https://www.belkin.com/,first-party host
869,afrihost.co.za,Afrihost,https://www.afrihost.co.za/,first-party host
870,dynu.com,"Dynu Systems, Inc.",https://www.dynu.com/,DNS
871,enphaseenergy.com,Enphase Energy,https://www.enphase.com/,static server
872,mtpfast.pw,,,malicious site
873,mydlink.com,D-Link,https://www.dlink.com/,first-party host
874,hwclouds-dns.com,Huawei,https://www.huawei.com/,DNS
875,xvideos.com,XVideos,https://www.xvideos.com/,adult content
876,xvideos-cdn.com,Xvideos,https://www.xvideos.com/,CDN
877,trafficfactory.biz,Traffic Factory,https://www.trafficfactory.biz/,advertising
878,google.com.mx,Google,https://www.google.com/,first-party host
879,touchtype-fluency.com,TouchType Ltd,https://www.touchtype-fluency.com/,marketing
880,pelmorex.com,Pelmorex,https://www.pelmorex.com/,first-party host
881,ted.com,TED Conferences LLC,https://www.ted.com/,marketing
882,radiotime.com,TuneIn,https://tunein.com/,CDN
883,molekule.com,Molekule,https://molekule.com/,marketing
884,bhvrdbd.com,Behaviour Interactive,https://bhvr.com/,DNS
885,giize.com,Giize,https://giize.com/,marketing
886,amcnetworks.com,AMC Networks,https://www.amcnetworks.com/,first-party host
