,remote_hostname,company,company_website,result
1600,marketwatch.com,Dow Jones & Company,https://www.dowjones.com/,news website
1601,flexibits.com,Flexibits,flexibits.com,first-party host
1602,1password.ca,1Password,https://1password.com/,first-party host
1603,hover.com,Hover,https://www.hover.com/,first-party host
1604,backblazeb2.com,Backblaze,https://www.backblaze.com/,CDN
1605,networking.apple,Apple Inc.,https://www.apple.com/,first-party host
1606,page.link,Google,https://www.google.com/,URL shortening service
1607,waipu.tv,EXARING AG,https://www.exaring.de/,streaming service
1608,bitmovin.com,Bitmovin,https://bitmovin.com/,CDN
1609,wpstr.tv,WPSTR Media LLC,https://www.wpstrmedia.com/,static server
1610,split.io,Split Software,https://www.split.io/,CDN
1611,sfr.net,SFR,https://www.sfr.fr/,first-party host
1612,dal.ca,Dalhousie University,https://www.dal.ca/,first-party host
1613,dotsrc.org,DotSrc,https://dotsrc.org/,static server
1614,wearetriple.com,Triple,https://wearetriple.com/,marketing
1615,nluug.nl,NLUUG,https://www.nluug.nl/,first-party host
1616,subscene.com,Subscene LLC,https://subscene.com/,static server
1617,byteoversea.com,ByteDance,https://www.bytedance.com/,marketing
1618,gotinder.com,"Match Group, LLC",https://www.matchgroup.com/,dating app - first-party host
1619,kxcdn.com,KeyCDN,https://www.keycdn.com/,CDN
1620,hpeprint.com,Hewlett Packard Enterprise,https://www.hpe.com/,first-party host
1621,dognzb.cr,DogNZB,https://dognzb.cr,first-party host
1622,here.com,HERE Technologies,https://www.here.com/,CDN
1623,breezein.net,Breeze-In,https://breezein.com/,static server
1624,bahnhof.se,Bahnhof,https://www.bahnhof.se/,first-party host
1625,dbankcdn.com,Unknown,,CDN
1626,adikteev.com,Adikteev,https://www.adikteev.com/,marketing
1627,cam.ac.uk,University of Cambridge,https://www.cam.ac.uk/,first-party host
1628,google.co.nz,Google,https://www.google.com/,first-party host
1629,spiderspace.co.uk,SpiderSpace,https://www.spiderspace.co.uk/,first-party host
1630,chickenkiller.com,Unknown,,first-party host
