,remote_hostname,company,company_website,result
3000,bcube.co.uk,Bcube,https://www.bcube.co.uk/,Not enough information to determine the purpose of the provided URL
3001,darnet.pl,Darnet,https://www.darnet.pl/,DNS
3002,veloxzone.com.br,Veloxzone,https://www.veloxzone.com.br/,{'purpose': 'DNS'}
3003,singnet.com.sg,Singtel,https://www.singtel.com/,DNS
3004,arkada-x.com,Arkada-X,https://arkada-x.com/,It is not possible to determine the exact purpose of the URL without additional information.
3005,coditel.net,Coditel,http://www.coditel.net/,DNS
3006,hawaiiantel.net,Hawaiian Telcom,https://www.hawaiiantel.com/,DNS
3007,townisp.com,Townsquare Interactive,https://townsquareinteractive.com/,marketing
3008,goip.de,GoIP,https://www.goip.de/,DNS
3009,networx-bg.com,Networx-BG,https://www.networx-bg.com/,DNS
3010,vertesnet.hu,VertesNet,https://vertesnet.hu/,static server
3011,openaq.org,OpenAQ,https://openaq.org/,static server
3012,weatherbug.com,WeatherBug,https://www.weatherbug.com/,weather tracking and analytics
3013,apl-alexa.com,Amazon,https://amazon.com/,DNS
3014,mmechocaptiveportal.com,,,
3015,asianet.co.th,Asianet,https://asianet.co.th/,DNS
3016,speedy.com.ar,Speedy Argentina,https://www.speedy.com.ar/,Internet Service Provider (ISP)
3017,au-net.ne.jp,AU Net,https://www.au-net.ne.jp/,DNS
3018,vodafone.de,Vodafone,https://www.vodafone.com/,first-party host
3019,pacificonet.cl,PacificoNet,https://pacificonet.cl/,DNS
3020,nwsvr1.com,Unknown,,Cannot determine the purpose of the URL
3021,myseedbox.site,Unknown,,Invalid URL or URL purpose is unclear
3022,elisa-mobile.fi,Elisa,https://www.elisa.fi/,First-party host
3023,inetia.pl,Inetia,https://inetia.pl/,static server
3024,as9105.com,RIPE NCC,https://www.ripe.net/,DNS
3025,mm.pl,CDN77,https://www.cdn77.com/,CDN
3026,prod-infinitum.com.mx,Prod Infinitum,https://www.infinitum.com.mx/,DNS
3027,gvt.net.br,Governo do Brasil,https://www.gov.br/,DNS
3028,fido.ca,Fido,https://www.fido.ca/,{'purpose': 'first-party host'}
3029,euskaltel.es,Euskaltel,https://www.euskaltel.com/,first-party host
3030,freenet.com.ua,Freenet Ukraine LLC,http://www.freenet.ua/,DNS
3031,elisa-laajakaista.fi,Elisa,https://www.elisa.fi/,DNS
3032,espeed.com.bn,eSpeed Brunei,https://espeed.com.bn/,DNS
3033,orange.pl,Orange Polska,https://www.orange.pl/,first-party host
3034,vf.net.nz,Vocus Group,https://vocusgroup.co.nz/,DNS
3035,uk.net,DNSimple,https://dnsimple.com/,DNS
3036,skyware.pl,Skyware,https://skyware.pl/,DNS
3037,vsenet.de,VSEnet GmbH,https://www.vsenet.de/,DNS
3038,harvard.edu,Harvard University,https://www.harvard.edu/,first-party host
3039,myaisfibre.com,AIS,https://www.ais.co.th/,first-party host
3040,windx.com.br,Windx,https://www.windx.com.br/,first-party host
3041,randomads.us,Random Ads,https://randomads.us/,advertising
3042,radioburgerfuel.com,BurgerFuel,https://www.burgerfuel.com/,first-party host
3043,totalplay.net,Totalplay,https://www.totalplay.com.mx/,first-party host
3044,rt.ru,Rostelecom,https://www.rostelecom.ru/en/,DNS
3045,dion.ne.jp,Dion,https://www.dion.ne.jp/,DNS
3046,ertelecom.ru,ER-Telecom,https://ertelecom.ru/,static server
3047,ziggozakelijk.nl,Ziggo Zakelijk,https://www.ziggo.nl/zakelijk/,first-party host
3048,kosnet.ru,Kosnet,http://kosnet.ru,DNS
3049,vsi.ru,VSI,https://www.vsi.ru/,DNS
3050,numericable.fr,Numericable,https://www.numericable.fr/,first-party host
3051,seedbox.io,Seedbox.io,https://seedbox.io/,CDN
3052,linkpc.net,Unknown,,The purpose of linkpc.net is unclear and requires further investigation.
3053,broadband.hu,Broadband.hu,https://broadband.hu/,DNS
3054,byfly.by,Beltelecom,https://beltelecom.by/,first-party host
3055,telkomadsl.co.za,Telkom SA SOC Limited,https://www.telkom.co.za/,DNS
3056,telecom.by,Beltelecom,https://beltelecom.by/,DNS
3057,bt-chat.com,CDN,https://www.bt-chat.com/,The provided URL serves as a Content Delivery Network (CDN) for the website https://www.bt-chat.com/. CDN improves website speed and user experience by storing website content in multiple geographical locations and serving requests from the closest server to the user's location.
3058,ip-91-121-171.eu,,,
3059,uzpak.uz,Uzbekistan Postal Service,https://www.uzpak.uz/,DNS
3060,dne.kz,DNS Kazakhstan,https://www.dns.kz/,DNS
3061,mm3019.com,,,
3062,epochtimes.com,Epoch Times,https://www.theepochtimes.com/,news media
3063,peelvalley.com.au,Peel Valley,https://peelvalley.com.au/,static server
3064,stdtime.gov.tw,National Time Service Center,https://www.ntsc.ac.cn/,DNS
3065,loseyourip.com,Lose Your IP,https://www.loseyourip.com/,DNS
3066,googlebot.com,Google,https://www.google.com/,DNS
3067,trafikverket.se,Trafikverket,https://www.trafikverket.se/en/,"{'purpose': 'DNS', 'description': 'The provided URL belongs to Trafikverket, which is the Swedish Transport Administration. This domain is used for hosting their DNS service and managing their network infrastructure.'}"
3068,vianaaws.jp,Viana,https://www.viana.jp/,CDN
3069,t-com.ne.jp,T-COM,https://www.t-com.ne.jp/,DNS
3070,enabler.ne.jp,Enabler,https://www.enabler.ne.jp/,marketing
3071,cableonline.com.mx,Cable Online,https://www.cableonline.com.mx/,first-party host
3072,cablevision.net.mx,Cablevisión,https://www.cablevision.net.mx/,first-party host
3073,mindspring.com,Mindspring,https://www.mindspring.com/,DNS
3074,totinternet.net,TótInternet Kft.,https://totinternet.net/,first-party host
3075,skymesh.net.au,SkyMesh,https://www.skymesh.net.au/,DNS
3076,foxtel.net.au,Foxtel,https://www.foxtel.com.au/,DNS
3077,sensicomfort.com,Sensi,https://sensicomfort.com/,first-party host
3078,lacrossetechnology.com,La Crosse Technology,https://www.lacrossetechnology.com/,first-party host
3079,canaryis.com,Canary Information Services,https://canaryis.com/,DNS
3080,dyndns.biz,Dyn,https://dyn.com/,DNS
3081,gwi.net,GWI,https://www.gwi.net/,DNS
3082,chicdn.net,ChicV International Holding Limited,https://www.chicv.com/,CDN
3083,evrythng.com,EVRYTHNG Inc.,https://evrythng.com/,marketing
3084,aqara.com,Aqara,https://www.aqara.com/,static server
3085,meari.com.cn,Meari,https://www.meari.com.cn/,security cameras and home automation devices
3086,btopenworld.com,BT Openworld,https://www.bt.com/,CDN
3087,ipvanish.com,IPVanish,https://www.ipvanish.com/,VPN service provider
3088,vnpt.vn,Vietnam Post and Telecommunications Group,https://www.vnpt.vn/,{'purpose': 'CDN'}
3089,tellas.gr,Tellas,https://www.tellas.gr/,DNS
3090,under.net.ua,UnderHost,https://underhost.com/,CDN
3091,aruba.it,Aruba S.p.A.,https://www.aruba.it/,DNS
3092,transip.net,TransIP,https://www.transip.net/,DNS
3093,wp-servers.com,WP-Servers,https://wp-servers.com/,static server
3094,multi.net.pk,MultiNet Pakistan,https://www.multi.net.pk/,DNS
3095,had.su,Unknown,,DNS
