,remote_hostname,company,company_website,result
400,nintendo.net,Nintendo,https://www.nintendo.com/,first-party host
401,virginm.net,Virgin Media,https://www.virginmedia.com/,first-party host
402,onedrive.com,Microsoft Corporation,https://www.microsoft.com/,CDN
403,cloudflare.com,CDN,https://www.cloudflare.com/,Content Delivery Network
404,windows.com,Microsoft Corporation,https://www.microsoft.com,first-party host
405,brightcove.net,Brightcove,https://www.brightcove.com/,CDN
406,brightcove.com,Brightcove,https://www.brightcove.com/,CDN
407,discord.gg,Discord,https://discord.com/,first-party host
408,boltdns.net,Boltdns,https://www.boltdns.net/,DNS
409,steampowered.com,Steam,https://www.steampowered.com/,digital distribution platform for video games
410,twitch.tv,Twitch,https://www.twitch.tv/,CDN
411,salesforce.com,Salesforce,https://www.salesforce.com/,marketing
412,twitchcdn.net,"Twitch Interactive, Inc.",https://www.twitch.tv/,CDN
413,siteforce.com,Sitecore,https://www.sitecore.com/,marketing
414,transacme.com,Unknown,,The purpose of the provided URL cannot be determined.
415,tuyaus.com,Unknown,,Cannot determine the purpose of the provided URL
416,2o7.net,Adobe,https://www.adobe.com/,analytics
417,ihrhls.com,Akamai Technologies,https://www.akamai.com/,CDN
418,iheart.com,iHeartMedia,https://www.iheartmedia.com/,marketing
419,zillowstatic.com,Zillow Group,https://www.zillowgroup.com/,static server
420,gumgum.com,GumGum,https://gumgum.com/,marketing
421,tailtarget.com,TailTarget,https://tailtarget.com/,advertising
422,doordash.com,DoorDash,https://www.doordash.com/,marketing
423,aiv-cdn.net,AIV,https://www.aiv-inc.com/,CDN
424,as13285.net,TalkTalk Group,https://www.talktalkgroup.com/,DNS
425,live.com,Microsoft Corporation,https://www.microsoft.com/,first-party host
426,meethue.com,Philips,https://www.philips.com/,marketing
427,tplinkra.com,TP-Link,www.tp-link.com,first-party host
428,tplinkcloud.com,TP-Link,https://www.tp-link.com/,DNS
429,pushbullet.com,Pushbullet,https://www.pushbullet.com/,marketing
430,nist.gov,,,
431,fungames-forfree.com,Fun Games For Free,https://www.fungames-forfree.com/,marketing
432,tunein.com,TuneIn,https://tunein.com/,first-party host
433,feelinsonice.com,Cloudflare,https://www.cloudflare.com/,CDN
434,adblockplus.org,Adblock Plus,https://adblockplus.org,advertising
435,tuyaeu.com,Unknown,,Cannot determine the purpose of the provided URL
436,bamgrid.com,BAMTECH Media,https://bamtechmedia.com/,CDN
437,babbel.com,Babbel,https://www.babbel.com/,language learning platform
438,presage.io,Presage.io,https://presage.io/,analytics
439,worldlifestyle.com,WorldLifestyle,https://www.worldlifestyle.com/,marketing
440,irobotapi.com,iRobot,https://www.irobot.com/,first-party host
441,pbs.org,PBS,https://www.pbs.org/,"{'purpose': 'first-party host', 'description': 'The provided URL belongs to the Public Broadcasting Service (PBS), which is a non-profit media organization and a well-known broadcaster in the United States that provides educational and entertaining programming. The website serves as the official website of PBS where users can access information on the shows that PBS offers, as well as watch full episodes, clips, and previews. As a first-party host, PBS uses this website to provide content and services directly to its audience without relying on third-party entities.', 'category': 'Broadcasting / Media'}"
442,mlbstatic.com,MLB Advanced Media,https://www.mlb.com,CDN
443,datadome.co,DataDome,https://www.datadome.co/,bot protection and website security
444,githubusercontent.com,GitHub,https://github.com/,static server
445,tmdb.org,The Movie Database,https://www.themoviedb.org/,{'purpose': 'analytics'}
446,github.com,GitHub,https://github.com/,static server
447,opendns.com,OpenDNS,https://www.opendns.com/,DNS
448,bit.nl,BIT BV,https://www.bit.nl/,{'purpose': 'static server'}
449,amplitude.com,Amplitude,https://amplitude.com,analytics
450,herokuapp.com,Heroku,https://www.heroku.com/,static server
451,alexa.com,Alexa Internet,https://www.alexa.com/,{'purpose': 'analytics'}
452,imgur.com,Imgur,https://imgur.com/,CDN
453,tetaneutral.net,Tetaneutral.net,https://www.tetaneutral.net/,{'purpose': 'CDN'}
454,amazontrust.com,Amazon,https://www.amazon.com/,DNS
455,amazon.de,CDN,https://www.amazon.com/,"The purpose of the provided URL is to provide a content delivery network (CDN) service. Amazon.de is primarily used as a content server for static resources such as images, videos, and other files that are delivered to users around the world through Amazon's global network of servers. This helps to improve the performance and speed of websites and applications that use Amazon.de's CDN service."
456,bit.ly,Bitly,https://bitly.com/,URL shortening service
