,remote_hostname,company,company_website,result
2000,as43234.net,Unknown,,CDN
2001,cmds-tachyon.com,CMD Solutions LLC,https://www.cmdsolutions.com/,CDN
2002,usabilla.com,Usabilla,https://usabilla.com/,marketing
2003,truste-svc.net,,,
2004,lametric.com,LaMetric,https://lametric.com/,marketing
2005,cquotient.com,CQuotient,https://www.cquotient.com/,marketing
2006,rakuten.com,,,
2007,oath.cloud,,,
2008,media6degrees.com,Media6Degrees,https://www.mediamath.com/partner/media6degrees/,advertising
2009,inside-graph.com,Inside Graph,https://inside-graph.com/,analytics
2010,bitwarden.com,Bitwarden,https://bitwarden.com/,first-party host
2011,sweettooth.io,Sweet Tooth,https://www.sweettoothrewards.com/,marketing
2012,auvik.com,Auvik Networks Inc.,https://www.auvik.com/,first-party host
2013,leaseweb.com,Leaseweb,https://www.leaseweb.com,CDN
2014,wo-cloud.com,WO Cloud,https://www.wo-cloud.com/,CDN
2015,youborafds01.com,,,
2016,ntp.org.cn,China National Time Service Center,http://www.ntsc.ac.cn/,DNS
2017,tableau.com,Tableau,https://www.tableau.com/,analytics
2018,telefonica.net,Telefónica,https://www.telefonica.com/,first-party host
2019,abtasty.com,AB Tasty,https://www.abtasty.com/,marketing
2020,videoplaza.tv,Videoplaza AB,https://www.videoplaza.com/,advertising
2021,media-lab.ai,Media Lab AI,https://media-lab.ai/,first-party host
2022,emisiondof6.com,,,
2023,telefonica.com,Telefónica,https://www.telefonica.com/,first-party host
2024,dof6.com,Unknown,,Unknown
2025,lifx.com,LIFX,https://www.lifx.com/,marketing
2026,lifx.co,LIFX,https://www.lifx.com/,marketing
2027,114dns.com,,,
2028,snssdk.com,ByteDance,https://www.bytedance.com/,CDN
2029,pstatp.com,ByteDance,https://www.bytedance.com/,tracking
2030,cloudlinks.cn,CloudLinks,https://www.cloudlinks.cn/,CDN
2031,alidns.com,Alibaba Group,https://www.alibaba.com/,DNS
2032,jivox.com,Jivox,https://www.jivox.com/,marketing
2033,worxlandroid.com,Worx,https://www.worx.com/,marketing
2034,m.me,Facebook,https://www.facebook.com/,first-party host
2035,messenger.com,Facebook,https://www.facebook.com/,first-party host
2036,youtu.be,Google,https://www.google.com/,CDN
2037,fb.gg,Facebook,https://www.facebook.com/,marketing
2038,withings.net,Withings,https://www.withings.com,first-party host
2039,answerscloud.com,Answers Corporation,https://www.answers.com/,marketing
2040,dropboxusercontent.com,"Dropbox, Inc.",https://www.dropbox.com/,CDN
2041,luminati.io,Luminati,https://luminati.io/,proxy network provider
2042,luminatinet.com,Luminati Networks,https://luminati.io/,proxy network provider
2043,bfmio.com,BFMIO,https://bfmio.com/,marketing
2044,hola.org,Hola Networks Ltd.,https://hola.org/,VPN service
2045,lum-superproxy.io,Luminati Networks,https://luminati.io/,CDN
2046,axs.com,AXS,https://www.axs.com/,ticketing
2047,123freecell.com,Solitaire Games,https://www.solitaireparadise.com/,gaming
2048,ignorelist.com,Ignorelist,https://ignorelist.com/,marketing
2049,clmbtech.com,Clmbtech,https://clmbtech.com/,marketing
2050,adgear.com,AdGear,https://adgear.com,advertising
2051,webrootcloudav.com,,,
2052,powerbi.com,Microsoft,https://www.microsoft.com/,analytics
2053,sssnet.com,SSSNET Inc.,https://www.sssnet.com/,static server
2054,beam.pro,Mixer,https://mixer.com/,first-party host
2055,audioeye.com,AudioEye,https://www.audioeye.com/,first-party host
2056,highwebmedia.com,HighWeb Media,https://www.highwebmedia.com/,marketing
2057,pub-tmaws.io,The Trade Desk,thetradedesk.com,CDN
